,AQI,City,Condition,Humidity,PM 10,PM 2.5,State,Temperature,Timestamp
392,56,Bangaon,Moderate,88,35,22,West Bengal,27,27-05-2021 01:33:29
393,45,Bankura,Good,100,41,23,West Bengal,26,27-05-2021 01:33:29
394,49,Bansbaria,Good,90,44,23,West Bengal,27,27-05-2021 01:33:29
395,46,Barasat,Good,94,43,23,West Bengal,27,27-05-2021 01:33:29
396,57,Barddhaman,Moderate,92,39,22,West Bengal,26,27-05-2021 01:33:29
397,47,Basirhat,Good,91,38,25,West Bengal,28,27-05-2021 01:33:29
398,49,Bhadreswar,Good,92,28,13,West Bengal,27,27-05-2021 01:33:29
399,48,Bhatpara,Good,92,29,17,West Bengal,27,27-05-2021 01:33:29
400,54,Champdani,Moderate,92,66,29,West Bengal,27,27-05-2021 01:33:29
401,49,Chandannagar,Good,92,29,16,West Bengal,27,27-05-2021 01:33:29
402,47,Dam Dam,Good,96,46,19,West Bengal,27,27-05-2021 01:33:29
403,45,Darjeeling,Good,94,33,19,West Bengal,14,27-05-2021 01:33:29
404,44,Durgapur,Good,94,46,26,West Bengal,25,27-05-2021 01:33:29
405,49,Habra,Good,90,41,25,West Bengal,27,27-05-2021 01:33:29
406,52,Haldia,Moderate,92,21,18,West Bengal,26,27-05-2021 01:33:29
407,51,Halisahar,Moderate,90,60,31,West Bengal,27,27-05-2021 01:33:29
408,46,Howrah,Good,93,55,25,West Bengal,27,27-05-2021 01:33:29
409,49,Hugli,Good,92,30,16,West Bengal,27,27-05-2021 01:33:29
410,96,Ingraj Bazar,Moderate,90,30,20,West Bengal,27,27-05-2021 01:33:29
411,45,Jalpaiguri,Good,87,35,20,West Bengal,25,27-05-2021 01:33:29
412,45,Jamuria,Good,92,38,20,West Bengal,25,27-05-2021 01:33:29
413,50,Jaynagar-Majilpur,Good,94,43,22,West Bengal,27,27-05-2021 01:33:29
414,49,Kalyani,Good,90,31,18,West Bengal,27,27-05-2021 01:33:29
415,43,Kamarhati,Good,92,19,9,West Bengal,27,27-05-2021 01:33:29
416,70,Kanchrapara,Moderate,90,79,31,West Bengal,27,27-05-2021 01:33:29
417,59,Kharagpur,Moderate,86,41,24,West Bengal,26,27-05-2021 01:33:29
418,45,Khardah,Good,92,23,12,West Bengal,27,27-05-2021 01:33:29
419,43,Kolkata,Good,95,41,21,West Bengal,27,27-05-2021 01:33:29
420,57,Krishnanagar,Moderate,89,35,22,West Bengal,27,27-05-2021 01:33:29
421,44,Kulti,Good,90,33,19,West Bengal,25,27-05-2021 01:33:29
422,49,Madhyamgram,Good,90,64,29,West Bengal,27,27-05-2021 01:33:29
423,87,Mahadipur,Moderate,90,28,18,West Bengal,27,27-05-2021 01:33:29
424,61,Medinipur,Moderate,86,41,24,West Bengal,26,27-05-2021 01:33:29
425,48,Naihati,Good,92,30,17,West Bengal,27,27-05-2021 01:33:29
426,59,Navadwip,Moderate,89,36,21,West Bengal,27,27-05-2021 01:33:29
427,43,Panihati,Good,92,20,10,West Bengal,27,27-05-2021 01:33:29
428,56,Raiganj,Moderate,83,36,22,West Bengal,26,27-05-2021 01:33:29
429,91,Rajmahal,Moderate,90,34,22,West Bengal,26,27-05-2021 01:33:29
430,46,Rishra,Good,92,22,9,West Bengal,27,27-05-2021 01:33:29
431,52,Shantipur,Moderate,89,34,21,West Bengal,27,27-05-2021 01:33:29
432,41,Shiliguri,Good,79,34,16,West Bengal,26,27-05-2021 01:33:29
433,56,Shrirampur,Moderate,92,62,22,West Bengal,27,27-05-2021 01:33:29
434,66,Titagarh,Moderate,92,72,33,West Bengal,27,27-05-2021 01:33:29
435,49,Uluberiya,Good,90,40,22,West Bengal,27,27-05-2021 01:33:29
